ZIP Code,Neighborhood,2016 Median Home Price,% Growth 2010-2016,% Growth 2015-2016,Avg. Days on Market in 2016,% Owner Occupied,Population,Median Income,Median Age,% of Population Under 14,% Unemployed
77510,Santa Fe,"$181,250.00",35.30%,7.60%,45.3,83%,14533.0,"$57,205.00",43.8,18%,11%
77036,Sharpstown Area,"$180,000.00",60.70%,3.00%,34.5,21%,72950.0,"$27,935.00",29.2,27%,10%
77018,Shepherd Park Plaza Area,"$427,000.00",58.10%,2.60%,47.0,67%,27020.0,"$65,919.00",38.5,19%,4%
77459,Sienna Area,"$350,000.00",41.70%,-1.40%,59.9,88%,59800.0,"$107,214.00",37.0,23%,6%
77587,South Houston,"$105,000.00",28.40%,6.60%,30.1,61%,17052.0,"$38,750.00",27.4,28%,9%
77034,Southbelt/Ellington,"$167,000.00",45.20%,12.10%,31.5,52%,37925.0,"$44,827.00",28.2,28%,8%
77055,Spring Branch,"$325,000.00",107.10%,3.20%,61.6,45%,44249.0,"$45,264.00",32.9,25%,7%
77373,Spring East,"$149,700.00",56.30%,7.00%,35.9,76%,55485.0,"$67,464.00",33.2,25%,7%
77386,Spring Northeast,"$238,000.00",46.50%,7.40%,64.2,78%,44686.0,"$84,940.00",31.5,29%,4%
77388,Spring/Klein,"$207,500.00",37.40%,3.80%,47.7,88%,41866.0,"$82,059.00",36.8,22%,5%
77375,Spring/Klein/Tomball,"$215,000.00",45.30%,7.50%,55.9,65%,43088.0,"$61,941.00",32.0,29%,7%
77477,Stafford Area,"$165,000.00",61.80%,17.20%,31.4,45%,35608.0,"$54,913.00",33.5,20%,5%
77478,Sugar Land East,"$306,000.00",34.20%,-3.20%,39.4,82%,24084.0,"$89,295.00",45.5,17%,5%
77498,Sugar Land North,"$216,000.00",44.00%,-3.00%,40.9,72%,52693.0,"$73,383.00",34.1,22%,4%
77479,Sugar Land South,"$441,674.00",43.40%,-2.90%,61.0,84%,81466.0,"$128,362.00",38.5,22%,4%
77407,Sugar Land West,"$320,000.00",28.30%,1.60%,53.1,84%,35057.0,"$85,045.00",32.4,28%,7%
